headword,meaning
fatal,মারাত্মক, প্রাণঘাতী
fear,ভয়, আশঙ্কা করা
feature,বৈশিষ্ট্য, রূপরেখা
feed,খাওয়ানো, আহার দেওয়া
feel,অনুভব করা, স্পর্শ করা
fertile,উর্বর, উৎপাদনশীল
festival,উৎসব, পরব
few,অল্প, কয়েকটি
fierce,ভীষণ, প্রচণ্ড
fight,যুদ্ধ, লড়াই করা
figure,আকৃতি, সংখ্যা, হিসেব করা
fill,পূরণ করা, ভর্তি করা
final,চূড়ান্ত, শেষ
find,খুঁজে পাওয়া, আবিষ্কার করা
fine,সুন্দর, জরিমানা, সূক্ষ্ম
finish,শেষ করা, সমাপ্তি
fire,আগুন, বরখাস্ত করা, গুলি চালানো
firm,দৃঢ়, ব্যবসায়িক প্রতিষ্ঠান
first,প্রথম, অগ্রগণ্য
fit,উপযুক্ত, সুস্থ, খাপ খাওয়ানো
fix,স্থির করা, মেরামত করা
flat,সমতল, চ্যাপ্টা, ফ্ল্যাট বাসা
flee,পালিয়ে যাওয়া, দ্রুত চলে যাওয়া
flexible,নমনীয়, স্থিতিস্থাপক
flight,উড়ান, পলায়ন, সিঁড়ি
flow,প্রবাহ, বয়ে যাওয়া
flower,ফুল, প্রস্ফুটিত হওয়া
fly,উড়ে যাওয়া, মাছি
focus,কেন্দ্রবিন্দু, মনোনিবেশ করা
fog,কুয়াশা, অস্পষ্ট করা
fold,ভাঁজ করা, গুটিয়ে ফেলা
follow,অনুসরণ করা, পেছনে চলা
fond,প্রিয়, অনুরাগী
food,খাদ্য, আহার
fool,বোকা, প্রতারণা করা
force,বল, শক্তি প্রয়োগ করা
foreign,বিদেশী, বহিরাগত
forest,বন, জঙ্গল
forget,ভুলে যাওয়া, অবহেলা করা
forgive,ক্ষমা করা, মার্জনা করা
form,আকৃতি, ফর্ম পূরণ করা, গঠন করা
fortune,ভাগ্য, ধনসম্পদ
forward,সামনে, এগিয়ে দেওয়া
foundation,ভিত্তি, প্রতিষ্ঠান
fragile,ভঙ্গুর, ঠুনকো
free,মুক্ত, স্বাধীন, বিনামূল্যে
frequent,ঘন ঘন, ঘন ঘন ঘটা
fresh,তাজা, সতেজ
friend,বন্ধু, সুহৃদ
friendly,বন্ধুসুলভ, অমায়িক
frighten,ভীত করা, আতঙ্কিত করা
front,সামনে, সম্মুখভাগ
fruit,ফল, ফলাফল
fuel,জ্বালানি, ইন্ধন দেওয়া
full,পূর্ণ, সম্পূর্ণ
fun,মজা, আনন্দ
funny,হাস্যকর, অদ্ভুত
future,ভবিষ্যৎ, ভাবী কাল
gain,লাভ করা, অর্জন করা
gallant,সাহসী, বীরত্বপূর্ণ
game,খেলা, শিকার করা জন্তু
gather,একত্র করা, কুড়ানো
generous,উদার, দানশীল
gentle,নম্র, ভদ্র
gift,উপহার, প্রতিভা
give,দেওয়া, দান করা
glad,আনন্দিত, খুশি
glance,এক পলক তাকানো, আভাস
gloom,অন্ধকার, বিষণ্নতা
glorious,মহিমান্বিত, গৌরবময়
glory,গৌরব, মহিমা
go,যাওয়া, গমন করা
goal,লক্ষ্য, গোলপোস্ট
god,ঈশ্বর, দেবতা
gold,স্বর্ণ, সোনা
good,ভালো, কল্যাণ
gorgeous,চমৎকার, জমকালো
govern,শাসন করা, নিয়ন্ত্রণ করা
grace,অনুগ্রহ, সৌন্দর্য, লাবণ্য
grade,শ্রেণী, মান নির্ধারণ করা
gradual,ক্রমিক, ধীর
grand,মহৎ, জমকালো
grant,মঞ্জুর করা, অনুদান
grasp,আঁকড়ে ধরা, উপলব্ধি করা
grateful,কৃতজ্ঞ, ধন্য
grave,কবর, গুরুতর, গম্ভীর
great,মহান, বিশাল
greedy,লোভী, লালায়িত
green,সবুজ, কাঁচা, অনভিজ্ঞ
greet,অভিবাদন জানানো, সম্ভাষণ করা
grief,দুঃখ, শোক
ground,ভূমি, মাঠ, ভিত্তি
group,দল, শ্রেণীভুক্ত করা
grow,জন্মানো, বৃদ্ধি পাওয়া
guard,পাহারা দেওয়া, রক্ষী
guess,অনুমান করা, আন্দাজ করা
guide,পথপ্রদর্শক, পরিচালনা করা
guilt,অপরাধ, দোষ
habit,অভ্যাস, পোশাক
hair,চুল, কেশ
half,অর্ধেক, আধা
hall,মিলনায়তন, বড় ঘর
hammer,হাতুড়ি, আঘাত করা
hand,হাত, হস্তান্তর করা
handsome,সুন্দর, সুদর্শন
hang,ঝোলানো, ফাঁসি দেওয়া
happen,ঘটা, সঙ্ঘটিত হওয়া
happy,সুখী, আনন্দিত
harbor,বন্দর, আশ্রয় দেওয়া
hard,কঠিন, শক্ত, কঠোর
harm,ক্ষতি করা, অপকার
harvest,ফসল কাটা, ফসল সংগ্রহ
haste,তাড়াহুড়ো, দ্রুততা
hate,ঘৃণা করা, অপছন্দ করা
have,আছে, ধারণ করা
head,মাথা, প্রধান, নেতৃত্ব দেওয়া
heal,আরোগ্য লাভ করা, নিরাময় করা
health,স্বাস্থ্য, সুস্থতা
heap,স্তূপ, গাদা করা
hear,শোনা, শ্রবণ করা
heart,হৃদয়, মন, কেন্দ্রস্থল
heat,উত্তাপ, উত্তপ্ত করা
heaven,স্বর্গ, আকাশ
heavy,ভারী, প্রকাণ্ড
height,উচ্চতা, চরম সীমা
help,সাহায্য করা, সহযোগিতা
hero,নায়ক, বীর
hesitate,দ্বিধা করা, ইতস্তত করা
hide,লুকানো, পশুর চামড়া
high,উচ্চ, উন্নত
hill,পাহাড়, টিলা
hire,ভাড়া করা, নিয়োগ করা
history,ইতিহাস, অতীত কাহিনী
hit,আঘাত করা, সফল প্রচেষ্টা
hold,ধরা, ধারণ করা, আয়োজন করা
hole,গর্ত, ছিদ্র
holiday,ছুটি, ছুটির দিন
holy,পবিত্র, পূত
home,গৃহ, বাসস্থান
honest,সৎ, ন্যায়পরায়ণ
honor,সম্মান, শ্রদ্ধা করা
hope,আশা করা, আকাঙ্ক্ষা
horizon,দিগন্ত, ভূসীমা
horn,শিং, ভেঁপু
hospital,হাসপাতাল, চিকিৎসালয়
host,হোস্ট, আমন্ত্রক, দল
hot,গরম, উষ্ণ, ঝাল
hotel,হোটেল, পান্থশালা
hour,ঘণ্টা, সময়
house,বাড়ি, ঘর, আশ্রয় দেওয়া
huge,বিশাল, প্রকাণ্ড
human,মানুষ, মানবীয়
humble,নম্র, বিনীত
hunger,ক্ষুধা, আকাঙ্ক্ষা
hunt,শিকার করা, অন্বেষণ করা
hurry,তাড়াহুড়ো করা, দ্রুত চলা
hurt,আঘাত করা, ক্ষতি করা
husband,স্বামী, মিতব্যয়িতার সাথে ব্যবহার করা
hut,কুটির, কুঁড়েঘর
idea,ধারণা, পরিকল্পনা
ideal,আদর্শ, কাল্পনিক
identify,শনাক্ত করা, চেনা
idle,অলস, অলস সময় কাটানো
ignore,উপেক্ষা করা, অগ্রাহ্য করা
ill,অসুস্থ, খারাপ
image,ছবি, প্রতিচ্ছবি, প্রতীক
imagine,কল্পনা করা, মনে করা
immediate,তাত্ক্ষণিক, অবিলম্বিত
immense,প্রচণ্ড, বিশাল
important,গুরুত্বপূর্ণ, প্রধান
improve,উন্নতি করা, ভালো করা
impulse,আবেগ, প্রেরণা
incident,ঘটনা, উপাখ্যান
include,অন্তর্ভুক্ত করা, শামিল করা
income,আয়, উপার্জন
increase,বৃদ্ধি পাওয়া, বাড়ানো
indeed,প্রকৃতপক্ষে, বস্তুত
independent,স্বাধীন, স্বনির্ভর
index,সূচক, নির্দেশিকা
indicate,নির্দেশ করা, ইঙ্গিত করা
individual,ব্যক্তিগত, স্বতন্ত্র ব্যক্তি
industry,শিল্প, অধ্যবসায়
infant,শিশু, অপ্রাপ্তবয়স্ক
influence,প্রভাব, প্রভাব বিস্তার করা
inform,জানানো, অবহিত করা
ink,কালি, স্বাক্ষর করা
innocent,নিরপরাধ, নিষ্পাপ
inquire,অনুসন্ধান করা, জিজ্ঞাসা করা
insane,পাগল, উন্মাদ
insect,পতঙ্গ, পোকা
inside,ভেতরে, অভ্যন্তর
insist,জিদ করা, জোর দেওয়া
inspect,পরিদর্শন করা, পরীক্ষা করা
inspire,অনুপ্রাণিত করা, উৎসাহ দেওয়া
instance,উদাহরণ, দৃষ্টান্ত
instant,তাত্ক্ষণিক, মুহূর্ত
instead,পরিবর্তে, বদলে
instruct,নির্দেশ দেওয়া, শিক্ষা দেওয়া
instrument,যন্ত্র, দলিল
insult,অপমান করা, লাঞ্ছনা
intellectual,বুদ্ধিজীবী, মেধা সংক্রান্ত
intend,ইচ্ছা করা, মনস্থ করা
intense,তীব্র, প্রগাঢ়
intent,অভিপ্রায়, সংকল্প
interest,আগ্রহ, সুদ, স্বার্থ
interfere,হস্তক্ষেপ করা, বাধা দেওয়া
interior,অভ্যন্তর, ভেতরের অংশ
internal,অভ্যন্তরীণ, ভেতরের
interpret,অনুবাদ করা, ব্যাখ্যা করা
interrupt,বাধা দেওয়া, সাময়িক বিরতি
interval,বিরতি, ব্যবধান
interview,সাক্ষাত্কার, মুখোমুখি আলোচনা
intimate,ঘনিষ্ঠ, অন্তরঙ্গ
into,ভেতরে, মধ্যে
introduce,পরিচয় করিয়ে দেওয়া, উপস্থাপন করা
invade,আক্রমণ করা, অনুপ্রবেশ করা
invent,আবিষ্কার করা, উদ্ভাবন করা
investigate,তদন্ত করা, অনুসন্ধান করা
invite,আমন্ত্রণ জানানো, নিমন্ত্রণ করা
involve,জড়িত করা, শামিল করা
iron,লোহা, ইস্ত্রি করা
island,দ্বীপ, নির্জন স্থান
issue,সমস্যা, বিষয়, প্রকাশ করা
it,ইহা, এটি
item,দফা, বিষয়, উপাদান
jacket,জ্যাকেট, মলাট
jail,কারাগার, জেলখানায় বন্দি করা
jam,জ্যাম, ভিড়, আটকে যাওয়া
jar,বয়াম, কলস, কর্কশ শব্দ
jaw,চোয়াল, মুখের অংশ
jealous,ঈর্ষান্বিত, পরশ্রীকাতর
jelly,জেলি, ঘন রস
jet,জেট বিমান, তীব্র ধারা
job,চাকরি, কাজ
join,যোগদান করা, যুক্ত করা
joint,যুগ্ম, সংযোগস্থল, গাঁট
joke,কৌতুক, ঠাট্টা করা
journal,সাময়িকী, দিনলিপি
journey,ভ্রমণ, যাত্রা
joy,আনন্দ, হর্ষ
judge,বিচারক, বিবেচনা করা
juice,রস, নির্যাস
jump,লাফ দেওয়া, স্প্রিং
junction,সংযোগস্থল, মোড়
just,কেবলমাত্র, ঠিক, ন্যায্য
justice,ন্যায়বিচার, ধর্মপরায়ণতা
keep,রাখা, রক্ষা করা, পালন করা
key,চাবি, প্রধান অংশ, সুর
kick,লাথি মারা, ধাক্কা
kid,শিশু, ছাগলছানা, ঠাট্টা করা
kill,হত্যা করা, বিনষ্ট করা
kind,দয়ালু, প্রকার, ধরণ
king,রাজা, সম্রাট
kiss,চুম্বন করা, স্পর্শ
kitchen,রান্নাঘর, পাকশালা
knee,হাঁটু, জানু
kneel,হাঁটু গেড়ে বসা, নত হওয়া
knife,ছুরি, ছুরি দিয়ে কাটা
knight,বীর যোদ্ধা, নাইট উপাধি দেওয়া
knit,বোনা, গাঁথুনি দেওয়া
knock,ধাক্কা দেওয়া, করাঘাত করা
knot,গিঁট, জটিলতা, গিঁট দেওয়া
know,জানা, চেনা, বুঝতে পারা
knowledge,জ্ঞান, পাণ্ডিত্য
label,লেবেল, তকমা লাগানো
labor,শ্রম, পরিশ্রম করা
lace,ফিতা, লেস লাগানো
lack,অভাব, ঘাটতি
ladder,মই, আরোহণের উপায়
lady,ভদ্রমহিলা, নারী
lake,হ্রদ, সরোবর
lamb,ভেড়ার ছানা, মেষশাবক
lame,খোঁড়া, পঙ্গু, দুর্বল অজুহাত
lamp,প্রদীপ, বাতি
land,ভূমি, দেশ, অবতরণ করা
language,ভাষা, বাকশৈলী
lantern,লণ্ঠন, হারিকেন
lap,কোল, ওভারল্যাপ করা
large,বিশাল, বড়
last,শেষ, দীর্ঘস্থায়ী হওয়া
late,দেরী, প্রয়াত
laugh,হাসা, হাসির শব্দ
launch,চালু করা, পানিতে ভাসানো
law,আইন, নিয়ম
lay,রাখা, ডিম পাড়া, সাধারণ লোক
lazy,অলস, শিথিল
lead,নেতৃত্ব দেওয়া, সীসা, পরিচালনা করা
leaf,পাতা, মলাটের পাতা
leak,ছিদ্র, চুইয়ে পড়া, ফাঁস হওয়া
lean,হেলান দেওয়া, চর্বিহীন, কৃশ
leap,লাফ দেওয়া, লাফানো
learn,শেখা, অবগত হওয়া
least,সবচেয়ে কম, ক্ষুদ্রতম
leather,চামড়া, পশুর চামড়া দিয়ে তৈরি
leave,ত্যাগ করা, ছুটি
lecture,বক্তৃতা, উপদেশ দেওয়া
left,বাম, চলে গেছে
leg,পা, অবলম্বন
legal,আইনি, বৈধ
legend,কিংবদন্তি, উপাখ্যান
lemon,লেবু, লেবু গাছ
lend,ধার দেওয়া, ঋণ দেওয়া
length,দৈর্ঘ্য, দূরত্ব
less,কম, ক্ষুদ্রতর
lesson,পাঠ, শিক্ষা
let,অনুমতি দেওয়া, ভাড়া দেওয়া
letter,চিঠি, বর্ণ, অক্ষর
level,স্তর, সমতল করা
liberal,উদার, মুক্তমনা
liberty,স্বাধীনতা, মুক্তি
library,গ্রন্থাগার, লাইব্রেরি
license,লাইসেন্স, অনুমতিপত্র
lid,ধাকনা, চোখের পাতা
lie,মিথ্যা বলা, শুয়ে থাকা
life,জীবন, প্রাণ, জীবনী
lift,উত্তোলন করা, লিফট, ওপরে তোলা
light,আলো, হালকা, প্রজ্বলিত করা
like,পছন্দ করা, মত, সদৃশ
limit,সীমা, সীমাবদ্ধ করা
line,রেখা, লাইন, সারি দেওয়া
link,সংযোগ, লিংক করা, যুক্ত করা
lip,ঠোঁট, ওষ্ঠ
liquid,তরল, প্রবাহী
list,তালিকা, তালিকাভুক্ত করা
listen,শোনা, মনোযোগ দেওয়া
literary,সাহিত্যিক, সাহিত্য সংক্রান্ত
literature,সাহিত্য, গ্রন্থাবলী
little,ছোট, সামান্য
live,বাস করা, সরাসরি, জীবন্ত
lively,প্রাণবন্ত, চঞ্চল
load,বোঝা, ভারাক্রান্ত করা, লোড করা
local,স্থানীয়, দেশীয়
locate,শনাক্ত করা, স্থাপন করা
lock,তালা, তালা লাগানো, চুলের গোছা
log,কাঠের গুঁড়ি, লগবই, নথিবদ্ধ করা
logic,যুক্তি, তর্কশাস্ত্র
lonely,একাকী, নির্জন
long,দীর্ঘ, লম্বা, আকাঙ্ক্ষা করা
look,তাকানো, চেহারা, অন্বেষণ করা
loose,আলগা, শিথিল করা
lord,প্রভু, স্বামী, শাসন করা
lose,হারানো, নষ্ট করা
loss,ক্ষতি, অপচয়
lost,হারিয়ে গেছে, নিখোঁজ
lot,প্রচুর, ভাগ্য, প্লট
loud,উচ্চ শব্দে, শোরগোলপূর্ণ
love,ভালোবাসা, স্নেহ করা
lovely,সুন্দর, মনোরম
low,নিচু, মৃদু আওয়াজ করা
loyal,বিশ্বস্ত, অনুগত
luck,ভাগ্য, সৌভাগ্য
luggage,লাগেজ, মালপত্র
lump,পিণ্ড, চাকা, দলা পাকানো
lunch,দুপুরের খাবার, আহার করা
lung,ফুসফুস, শ্বাসযন্ত্র
luxury,বিলাসিতা, আরাম আয়েশ
machine,যন্ত্র, ইঞ্জিন
mad,পাগল, ক্ষিপ্ত
magazine,সাময়িকী, ম্যাগাজিন, বারুদাগার
magic,যাদু, ভেলকি, জাদুকরী
magnet,চুম্বক, আকর্ষক
magnificent,চমৎকার, জমকালো
maid,দাসী, কুমারী মেয়ে
mail,ডাক, ইমেইল করা, চিঠি পাঠানো
main,প্রধান, মূল অংশ
maintain,বজায় রাখা, ভরণপোষণ করা
majestic,রাজকীয়, মহিমান্বিত
major,প্রধান, প্রাপ্তবয়স্ক, মেজর
make,তৈরি করা, গঠন করা
male,পুরুষ, পুরুষবাচক
malice,বিদ্বেষ, পরশ্রীকাতরতা
man,মানুষ, পুরুষ মানুষ, কর্মী নিযুক্ত করা
manage,পরিচালনা করা, ব্যবস্থা করা
manner,পদ্ধতি, আচরণ, কায়দা
many,অনেক, প্রচুর
map,মানচিত্র, নকশা করা
marble,মার্বেল, মার্বেল পাথর
march,কুচকাওয়াজ, মার্চ মাস, এগিয়ে চলা
margin,সীমান্ত, ব্যবধান, প্রান্ত
mark,চিহ্ন, দাগ, নম্বর দেওয়া
market,বাজার, বিপণন করা
marriage,বিবাহ, পরিণয়
marry,বিয়ে করা, বিবাহ বন্ধনে আবদ্ধ হওয়া
marvel,বিস্ময়, আশ্চর্য হওয়া
masculine,পুরুষবাচক, পুংলিঙ্গ
mask,মুখোশ, ছদ্মবেশ, ঢেকে রাখা
mass,ভর, স্তূপ, বিশাল জনতা
master,মালিক, দক্ষ, আয়ত্ত করা
mat,মাদুর, পাটি, জট পাকানো
match,দেশলাই, খেলা, মিলানো
mate,সঙ্গী, জোড় মেলানো
material,উপাদান, পদার্থ, পার্থিব
matter,বিষয়, পদার্থ, গুরুত্বপূর্ণ হওয়া
mature,পরিণত, পরিপক্ক হওয়া
maximum,সর্বোচ্চ, পরম সীমা
may,হতে পারে, মে মাস
maybe,সম্ভবত, হতে পারে
mayor,নগরপিতা, মেয়র
meadow,তৃণভূমি, ঘাসের মাঠ
meal,আহার, খাদ্য গ্রহণ
mean,অর্থ প্রকাশ করা, নিচ, গড় মান
meaning,অর্থ, তাত্পর্য
measure,পরিমাপ, পরিমাপ করা, পদক্ষেপ
meat,মাংস, আহার্য
medal,পদক, মেডেল
medicine,ওষুধ, ভেষজ
meet,সাক্ষাৎ করা, একত্র হওয়া, উপযুক্ত
melody,সুর, সুতান
melt,গলে যাওয়া, দ্রবীভূত হওয়া
member,সদস্য, অঙ্গ
memory,স্মৃতি, স্মরণশক্তি
mental,মানসিক, মন সংক্রান্ত
mention,উল্লেখ করা, বলা
merchant,বণিক, ব্যবসায়ী
mercy,দয়া, করুণা
mere,কেবলমাত্র, সামান্য
merge,একত্রিত করা, লীন হওয়া
merit,যোগ্যতা, গুণ
merry,প্রফুল্ল, আনন্দিত
mess,বিশৃঙ্খলা, নোংরা অবস্থা, একসঙ্গে খাওয়া
message,বার্তা, সংবাদ পাঠানো
metal,ধাতু, ধাতব
method,পদ্ধতি, প্রথা
middle,মধ্যভাগ, মাঝখান
might,শক্তি, হতে পারত
mild,মৃদু, নরম
mile,মাইল, দূরত্ব মাপার একক
military,সামরিক, সেনাবাহিনী সংক্রান্ত
milk,দুধ, দোহন করা
mill,কল, কারখানা, গুঁড়ো করা
mind,মন, আপত্তি করা, মনোযোগ দেওয়া
mine,আমার, খনি, সুড়ঙ্গ তৈরি করা
mineral,খনিজ, খনিজ পদার্থ
minimum,নূন্যতম, সর্বনিম্ন
minister,মন্ত্রী, ধর্মযাজক
minor,নাবালক, ছোট, অপ্রধান
minute,মিনিট, অতি সূক্ষ্ম, কার্যবিবরণী
miracle,অলৌকিক ঘটনা, বিস্ময়
mirror,আয়না, প্রতিবিম্বিত করা
mischief,ক্ষতি, দুষ্টুমি
miserable,দুঃখী, শোচনীয়
misery,দুর্দশা, চরম দুঃখ
miss,মিস করা, কুমারী মেয়ে, লক্ষ্যভ্রষ্ট হওয়া
mist,কুয়াশা, ঝাপসা করা
mistake,ভুল, ভুল করা
mix,মিশ্রিত করা, গুলানো
mixture,মিশ্রণ, সংমিশ্রণ
model,মডেল, আদর্শ রূপ, ছাঁচ
moderate,পরিমিত, সহনশীল, নরম করা
modern,আধুনিক, নতুন
modest,নম্র, শালীন
moist,ভেজা, স্যাঁতসেঁতে
moment,মুহূর্ত, গুরুত্ব
monarch,সম্রাট, একচ্ছত্র শাসক
money,টাকা, অর্থ
month,মাস, ৩০ দিন সময়
monument,স্মৃতিস্তম্ভ, কীর্তিস্তম্ভ
mood,মনোভাব, মেজাজ
moon,চাঁদ, চন্দ্র
moral,নৈতিক, নীতিশিক্ষা
more,আরও, অধিকতর
morning,সকাল, প্রভাত
mortal,মরণশীল, মারাত্মক
most,অধিকাংশ, সবচেয়ে বেশি
mother,মা, জননী, লালন-পালন করা
motion,গতি, প্রস্তাব, ইশারা করা
motive,উদ্দেশ্য, প্রেরণা
mountain,পাহাড়, পর্বত
mouth,মুখ, মুখের অংশ, বলা
move,স্থানান্তরিত করা, নড়াচড়া করা, পদক্ষেপ
much,অনেক, প্রচুর
mud,কাদা, পঙ্ক
multiply,গুণ করা, বৃদ্ধি করা
multitude,বিশাল সংখ্যা, জনতা
murder,হত্যা, খুন করা
murmur,বিড়বিড় করা, মৃদু আওয়াজ
muscle,পেশী, শক্তি
museum,জাদুঘর, সংগ্রহশালা
music,সঙ্গীত, গান
must,অবশ্যই, অপরিহার্য বিষয়
mutter,বিড়বিড় করা, অসন্তোষ প্রকাশ করা
mutual,পারস্পরিক, উভয়ের
mystery,রহস্য, ধাঁধা
nail,নখ, পেরেক, পেরেক মারা
naked,উলঙ্গ, নগ্ন
name,নাম, নাম রাখা, উল্লেখ করা
narrow,সংকীর্ণ, সরু, সংকীর্ণ করা
nation,জাতি, দেশ
native,দেশীয়, আদিবাসী
natural,প্রাকৃতিক, সহজাত
nature,প্রকৃতি, স্বভাব, ধরণ
near,নিকটবর্তী, কাছে আসা
neat,পরিষ্কার, পরিপাটি
necessary,প্রয়োজনীয়, অপরিহার্য
neck,ঘাড়, গলা
need,প্রয়োজন, অভাব
needle,সূঁচ, কাঁটা
neglect,উপেক্ষা করা, অবহেলা
neighbor,প্রতিবেশী, নিকটবর্তী থাকা
neither,কোনটিই নয়, এটাও না ওটাও না
nephew,ভাগ্নে, ভ্রাতুষ্পুত্র
nerve,স্নায়ু, সাহস
nest,পাখির বাসা, বাসা বাঁধা
net,জাল, নিট লাভ, ফাঁদে ফেলা
never,কখনো না, কোনমতেই না
new,নতুন, আধুনিক
news,সংবাদ, খবর
next,পরবর্তী, পাশে
nice,সুন্দর, চমৎকার
niece,ভাগ্নী, ভ্রাতুষ্পুত্রী
night,রাত, রাত্রি
noble,মহৎ, অভিজাত ব্যক্তি
nod,মাথা নাড়ানো, সায় দেওয়া
noise,শব্দ, গোলমাল
none,কেউ না, কোনোটিই নয়
noon,দুপুর, মধ্যাহ্ন
nor,না, এটাও না
normal,স্বাভাবিক, সাধারণ
north,উত্তর, উত্তর দিক
nose,নাক, নাসিকা
not,না, নয়
note,নোট, স্মারকপত্র, লক্ষ্য করা, সুর
nothing,কিছুই না, শূন্য
notice,বিজ্ঞপ্তি, লক্ষ্য করা, মনোযোগ দেওয়া
noun,বিশেষ্য, নাম পদ
novel,উপন্যাস, অভিনব
now,এখন, বর্তমানে
number,সংখ্যা, নম্বর দেওয়া, গণনা করা
nurse,নার্স, সেবিকা, সেবা করা
nut,বাদাম, বল্টু
oath,শপথ, হলফনামা
obey,মান্য করা, আজ্ঞা পালন করা
object,বস্তু, উদ্দেশ্য, আপত্তি করা
observe,লক্ষণ করা, উদযাপন করা, পর্যবেক্ষণ করা
obtain,অর্জন করা, পাওয়া
obvious,স্পষ্ট, প্রতীয়মান
occasion,উপলক্ষ, সুযোগ, কারণ ঘটানো
ocean,মহাসমুদ্র, মহাসাগর
odd,অদ্ভুত, বিজোড়, বাড়তি
odor,গন্ধ, সুবাস
of,এর, মধ্য হতে
off,বন্ধ, দূরে
offend,বিরক্ত করা, অপরাধ করা, ক্ষুণ্ন করা
